date,areaName,areaCode,newCasesByPublishDate
2021-10-28,Northern Ireland,N92000002,1122
2021-10-27,Northern Ireland,N92000002,1291
2021-10-26,Northern Ireland,N92000002,1124
2021-10-25,Northern Ireland,N92000002,1019
2021-10-24,Northern Ireland,N92000002,1061
2021-10-23,Northern Ireland,N92000002,1323
2021-10-22,Northern Ireland,N92000002,1355
2021-10-21,Northern Ireland,N92000002,1051
2021-10-20,Northern Ireland,N92000002,1423
2021-10-19,Northern Ireland,N92000002,1367
2021-10-18,Northern Ireland,N92000002,1091
2021-10-17,Northern Ireland,N92000002,966
2021-10-16,Northern Ireland,N92000002,1218
2021-10-15,Northern Ireland,N92000002,1349
2021-10-14,Northern Ireland,N92000002,1304
2021-10-13,Northern Ireland,N92000002,1471
2021-10-12,Northern Ireland,N92000002,1278
2021-10-11,Northern Ireland,N92000002,1109
2021-10-10,Northern Ireland,N92000002,1115
2021-10-09,Northern Ireland,N92000002,1274
2021-10-08,Northern Ireland,N92000002,1276
2021-10-07,Northern Ireland,N92000002,1305
2021-10-06,Northern Ireland,N92000002,1339
2021-10-05,Northern Ireland,N92000002,1209
2021-10-04,Northern Ireland,N92000002,1080
2021-10-03,Northern Ireland,N92000002,892
2021-10-02,Northern Ireland,N92000002,992
2021-10-01,Northern Ireland,N92000002,1039
2021-09-30,Northern Ireland,N92000002,1163
2021-09-29,Northern Ireland,N92000002,1320
2021-09-28,Northern Ireland,N92000002,1078
2021-09-27,Northern Ireland,N92000002,903
2021-09-26,Northern Ireland,N92000002,1020
2021-09-25,Northern Ireland,N92000002,1120
2021-09-24,Northern Ireland,N92000002,1030
2021-09-23,Northern Ireland,N92000002,1165
2021-09-22,Northern Ireland,N92000002,1060
2021-09-21,Northern Ireland,N92000002,1145
2021-09-20,Northern Ireland,N92000002,1020
2021-09-19,Northern Ireland,N92000002,889
2021-09-18,Northern Ireland,N92000002,1072
2021-09-17,Northern Ireland,N92000002,1239
2021-09-16,Northern Ireland,N92000002,1071
2021-09-15,Northern Ireland,N92000002,1304
2021-09-14,Northern Ireland,N92000002,1590
2021-09-13,Northern Ireland,N92000002,1199
2021-09-12,Northern Ireland,N92000002,1031
2021-09-11,Northern Ireland,N92000002,1424
2021-09-10,Northern Ireland,N92000002,1687
2021-09-09,Northern Ireland,N92000002,1831
2021-09-08,Northern Ireland,N92000002,1210
2021-09-07,Northern Ireland,N92000002,1748
2021-09-06,Northern Ireland,N92000002,1764
2021-09-05,Northern Ireland,N92000002,1232
2021-09-04,Northern Ireland,N92000002,1812
2021-09-03,Northern Ireland,N92000002,1248
2021-09-02,Northern Ireland,N92000002,793
2021-09-01,Northern Ireland,N92000002,1472
2021-08-31,Northern Ireland,N92000002,1313
2021-08-30,Northern Ireland,N92000002,1259
2021-08-29,Northern Ireland,N92000002,1225
2021-08-28,Northern Ireland,N92000002,1430
2021-08-27,Northern Ireland,N92000002,1875
