date,areaName,areaCode,newCasesByPublishDate
2020-07-03,Northern Ireland,N92000002,4
2020-07-02,Northern Ireland,N92000002,7
2020-07-01,Northern Ireland,N92000002,1
2020-06-30,Northern Ireland,N92000002,3
2020-06-29,Northern Ireland,N92000002,6
2020-06-28,Northern Ireland,N92000002,1
2020-06-27,Northern Ireland,N92000002,2
2020-06-26,Northern Ireland,N92000002,4
2020-06-25,Northern Ireland,N92000002,1
2020-06-24,Northern Ireland,N92000002,2
2020-06-23,Northern Ireland,N92000002,0
2020-06-22,Northern Ireland,N92000002,1
2020-06-21,Northern Ireland,N92000002,4
2020-06-20,Northern Ireland,N92000002,0
2020-06-19,Northern Ireland,N92000002,3
2020-06-18,Northern Ireland,N92000002,1
2020-06-17,Northern Ireland,N92000002,8
2020-06-16,Northern Ireland,N92000002,2
2020-06-15,Northern Ireland,N92000002,4
2020-06-14,Northern Ireland,N92000002,7
2020-06-13,Northern Ireland,N92000002,3
2020-06-12,Northern Ireland,N92000002,16
2020-06-11,Northern Ireland,N92000002,4
2020-06-10,Northern Ireland,N92000002,13
2020-06-09,Northern Ireland,N92000002,3
2020-06-08,Northern Ireland,N92000002,6
2020-06-07,Northern Ireland,N92000002,6
2020-06-06,Northern Ireland,N92000002,14
2020-06-05,Northern Ireland,N92000002,3
2020-06-04,Northern Ireland,N92000002,33
2020-06-03,Northern Ireland,N92000002,8
2020-06-02,Northern Ireland,N92000002,4
2020-06-01,Northern Ireland,N92000002,12
2020-05-31,Northern Ireland,N92000002,7
2020-05-30,Northern Ireland,N92000002,13
2020-05-29,Northern Ireland,N92000002,17
2020-05-28,Northern Ireland,N92000002,16
2020-05-27,Northern Ireland,N92000002,26
2020-05-26,Northern Ireland,N92000002,28
2020-05-25,Northern Ireland,N92000002,39
2020-05-24,Northern Ireland,N92000002,25
2020-05-23,Northern Ireland,N92000002,41
2020-05-22,Northern Ireland,N92000002,23
2020-05-21,Northern Ireland,N92000002,42
2020-05-20,Northern Ireland,N92000002,18
2020-05-19,Northern Ireland,N92000002,20
2020-05-18,Northern Ireland,N92000002,16
2020-05-17,Northern Ireland,N92000002,28
2020-05-16,Northern Ireland,N92000002,40
2020-05-15,Northern Ireland,N92000002,26
2020-05-14,Northern Ireland,N92000002,38
2020-05-13,Northern Ireland,N92000002,60
2020-05-12,Northern Ireland,N92000002,44
2020-05-11,Northern Ireland,N92000002,30
2020-05-10,Northern Ireland,N92000002,41
2020-05-09,Northern Ireland,N92000002,56
2020-05-08,Northern Ireland,N92000002,38
2020-05-07,Northern Ireland,N92000002,50
2020-05-06,Northern Ireland,N92000002,53
2020-05-05,Northern Ireland,N92000002,45
2020-05-04,Northern Ireland,N92000002,69
2020-05-03,Northern Ireland,N92000002,78
2020-05-02,Northern Ireland,N92000002,66
2020-05-01,Northern Ireland,N92000002,87
2020-04-30,Northern Ireland,N92000002,73
2020-04-29,Northern Ireland,N92000002,55
2020-04-28,Northern Ireland,N92000002,34
2020-04-27,Northern Ireland,N92000002,66
2020-04-26,Northern Ireland,N92000002,82
2020-04-25,Northern Ireland,N92000002,104
2020-04-24,Northern Ireland,N92000002,106
2020-04-23,Northern Ireland,N92000002,142
2020-04-22,Northern Ireland,N92000002,116
2020-04-21,Northern Ireland,N92000002,30
2020-04-20,Northern Ireland,N92000002,83
2020-04-19,Northern Ireland,N92000002,159
2020-04-18,Northern Ireland,N92000002,148
2020-04-17,Northern Ireland,N92000002,137
2020-04-16,Northern Ireland,N92000002,113
2020-04-15,Northern Ireland,N92000002,121
2020-04-14,Northern Ireland,N92000002,85
2020-04-13,Northern Ireland,N92000002,76
2020-04-12,Northern Ireland,N92000002,89
2020-04-11,Northern Ireland,N92000002,128
2020-04-10,Northern Ireland,N92000002,112
2020-04-09,Northern Ireland,N92000002,138
2020-04-08,Northern Ireland,N92000002,84
2020-04-07,Northern Ireland,N92000002,97
2020-04-06,Northern Ireland,N92000002,69
2020-04-05,Northern Ireland,N92000002,91
2020-04-04,Northern Ireland,N92000002,94
2020-04-03,Northern Ireland,N92000002,130
2020-04-02,Northern Ireland,N92000002,85
2020-04-01,Northern Ireland,N92000002,103
2020-03-31,Northern Ireland,N92000002,53
2020-03-30,Northern Ireland,N92000002,123
2020-03-29,Northern Ireland,N92000002,86
2020-03-28,Northern Ireland,N92000002,49
2020-03-27,Northern Ireland,N92000002,34
2020-03-26,Northern Ireland,N92000002,32
2020-03-25,Northern Ireland,N92000002,37
2020-03-24,Northern Ireland,N92000002,24
2020-03-23,Northern Ireland,N92000002,20
2020-03-22,Northern Ireland,N92000002,20
2020-03-21,Northern Ireland,N92000002,22
2020-03-20,Northern Ireland,N92000002,9
2020-03-19,Northern Ireland,N92000002,9
2020-03-18,Northern Ireland,N92000002,6
2020-03-17,Northern Ireland,N92000002,10
2020-03-16,Northern Ireland,N92000002,7
2020-03-15,Northern Ireland,N92000002,11
2020-03-14,Northern Ireland,N92000002,5
2020-03-13,Northern Ireland,N92000002,10
2020-03-12,Northern Ireland,N92000002,1
2020-03-11,Northern Ireland,N92000002,2
2020-03-10,Northern Ireland,N92000002,0
2020-03-09,Northern Ireland,N92000002,3
2020-03-08,Northern Ireland,N92000002,5
2020-03-07,Northern Ireland,N92000002,2
2020-03-06,Northern Ireland,N92000002,2

